,title,language,original,stars
126,google-research/morph-net,Python,"MorphNet: Fast & Simple Resource-Constrained Learning of Deep Network Structure
[TOC]
What is MorphNet?
MorphNet is a method for learning deep network structure during training. The
key principle is continuous relaxation of the network-structure learning
problem. Specifically, activation sparsity is induced by adding regularizers
that target the consumption of specific resources such as FLOPs or model size.
When the regularizer loss is added to the training loss and their sum is
minimized via stochastic gradient descent or a similar optimizer, the learning
problem becomes a constrained optimization of the structure of the network,
under the constraint represented by the regularizer. The method was first
introduced in our CVPR 2018, paper ""MorphNet: Fast & Simple Resource-Constrained Learning of
Deep Network Structure"". A overview of the
approach as well as new device-specific latency regularizers were prestend in
GTC 2019
[slides, recording: YouTube, GTC on-demand].
In short, the MorphNet regularizer pushes weights down, and once they are small
enough, the corresponding output channels are marked for removal from the
network.
Usage
Suppose you have a working convolutional neural network for image classification
but want to shrink the model to satisfy some constraints (e.g., memory,
latency). Given an existing model (the “seed network”) and a target criterion,
MorphNet will propose a new model by adjusting the number of output channels in
each convolution layer.
Note that MorphNet does not change the topology of the network -- the proposed
model will have the same number of layers and connectivity pattern as the seed
network.
To use MorphNet, you must:


Choose a regularizer from morphnet.network_regularizers. The choice is
based on

your target cost (e.g., FLOPs, latency)
your network architecture: use Gamma regularizer if the seed network
has BatchNorm; use GroupLasso otherwise.

Note: If you use BatchNorm, you must enable the scale parameters (“gamma
variables”), i.e., by setting scale=True if you are using
tf.keras.layers.BatchNormalization.


Initialize the regularizer with a threshold and the output ops of your model
(e.g., logits for classification).
MorphNet regularizer crawls your graph starting from the output ops, and
applies regularization to some of the ops it encounters. It uses the
threshold to determine which output channels can be eliminated.


Add the regularization term to your loss.
As always, regularization loss must be scaled. We recommend to search for
the scaling hyperparameter (regularization strength) along a logarithmic
scale spanning a few orders of magnitude around 1/(initial cost). For
example, if the seed network starts with 1e9 FLOPs, explore regularization
strength around 1e-9.
Note: MorphNet does not currently add the regularization loss to the
tf.GraphKeys.REGULARIZATION_LOSSES collection; this choice is subject to
revision.
Note: Do not confuse get_regularization_term() (the loss you should add to
your training) with get_cost() (the estimated cost of the network if the
proposed structure is applied).


Train the model.
Note: We recommend using a fixed learning rate (no decay) for this step,
though this is not strictly necessary.


Save the proposed model structure with the StructureExporter.
The exported files are in JSON format. Note that as the training progresses,
the proposed model structure will change. There are no specific guidelines
on the stopping time, although you would likely want to wait for the
regularization loss (reported via summaries) to stabilize.


(Optional) Create summary ops to monitor the training progress through
TensorBoard.


Modify your model using the StructureExporter output.


Retrain the model from scratch without the MorphNet regularizer.
Note: Use the standard values for all hyperparameters (such as the learning
rate schedule).


(Optional) Uniformly expand the network to adjust the accuracy vs. cost
trade-off as desired. Alternatively, this step can be performed before
the structure learning step.


We refer to the first round of training as structure learning and the second
round as retraining.
To summarize, the key hyperparameters for MorphNet are:

Regularization strength
Alive threshold

Note that the regularizer type is not a hyperparameter because it's uniquely
determined by the metric of interest (FLOPs, latency) and the presence of
BatchNorm.
Regularizer Types
Regularizer classes can be found under network_regularizers/ directory. They
are named by the algorithm they use and the target cost they attempt to
minimize. For example, GammaFlopsRegularizer uses the batch norm gamma in
order to regularize the FLOP cost.
Regularizer Algorithms

GroupLasso is designed for models without batch norm.
Gamma is designed for
models with batch norm; it requires that batch norm scale is enabled.

Regularizer Target Costs

Flops targets the FLOP count of the inference network.
Model Size targets the number of weights of the network.
Latency optimizes for the estimated inference latency of the network, based
on the specific hardware characteristics.

Example: Adding a FLOPs Regularizer
The example below demonstrates how to use MorphNet to reduce the number of FLOPs
in your model.
from morph_net.network_regularizers import flop_regularizer
from morph_net.tools import structure_exporter

logits = build_model()

network_regularizer = flop_regularizer.GammaFlopsRegularizer(
    [logits.op], gamma_threshold=1e-3)
regularization_strength = 1e-10
regularizer_loss = (network_regularizer.get_regularization_term() * regularization_strength)

model_loss = tf.nn.sparse_softmax_cross_entropy_with_logits(labels, logits)

optimizer = tf.train.MomentumOptimizer(learning_rate=0.01, momentum=0.9)

train_op = optimizer.minimize(model_loss + regularizer_loss)
You should monitor the progress of structure learning training via Tensorboard.
In particular, you should consider adding a summary that computes the current
MorphNet regularization loss and the cost if the currently proposed structure is
adopted.
tf.summary.scalar('RegularizationLoss', regularizer_loss)
tf.summary.scalar(network_regularizer.cost_name, network_regularizer.get_cost())

Larger values of regularization_strength will converge to smaller effective
FLOP count. If regularization_strength is large enough, the FLOP count will
collapse to zero. Conversely, if it is small enough, the FLOP count will remain
at its initial value and the network structure will not vary. The
regularization_strength parameter is your knob to control where you want to be
on the price-performance curve. The gamma_threshold parameter is used for
determining when an activation is alive.
Extracting the Architecture Learned by MorphNet
During training, you should save a JSON file that contains the learned structure
of the network, that is the count of activations in a given layer kept alive (as
opposed to removed) by MorphNet.
exporter = structure_exporter.StructureExporter(
    network_regularizer.op_regularizer_manager)

with tf.Session() as sess:
  tf.global_variables_initializer().run()
  for step in range(max_steps):
    _, structure_exporter_tensors = sess.run([train_op, exporter.tensors])
    if (step % 1000 == 0):
      exporter.populate_tensor_values(structure_exporter_tensors)
      exporter.create_file_and_save_alive_counts(train_dir, step)
Misc
Contact: morphnet@google.com
Maintainers

Elad Eban, github: eladeban
Andrew Poon
Yair Movshovitz-Attias, github: yairmov
Max Moroz

Contributors

Ariel Gordon, github: gariel-google.

",695
127,phugnguyen/SamuraiCourses,JavaScript,"Samurai Courses
Samurai Courses, a Ninja Courses clone, is a course scheduling platform that allows students to plan their schedules without having to worry about which courses will conflict with each other.
Live Demo
Technologies

Backend: Ruby on Rails/ActiveRecord/PostreSQL
Frontend: React/Redux

Features

BCrypt encryption for passwords and session tokens
Fast schedule generator

Dashboard & Schedules
Snapshots
Select School and Add Courses
Select Different Course Offerings
Generate Schedules Without Conflict
This README would normally document whatever steps are necessary to get the
application up and running.
Things you may want to cover:


Ruby version


System dependencies


Configuration


Database creation


Database initialization


How to run the test suite


Services (job queues, cache servers, search engines, etc.)


Deployment instructions


...


NOTES - STYLE BEFORE EVERYTHING
AUTH - ERRORS

AUTH

modal!!


Choose theme/ color theme

run by ryan before executing


MVP 1

layout -> choosing school -> choosing term


MVP 2

dropdown selection classes
BONUS: sections - focus on main classes


MVP 3

generate schedules


MVP 4

generate schedule views


BONNUS

saved schedules



*SCHEMA


times table


course can have many times


scrape real data


courses table enrolled bonus

current enrolled
max enrolled



calculate on the backend
*send back up to schedule slice of state


schedules

SAVED boolean



Sample State

preview slice of state for schedules



backend routes

nest courses under a school
/api/courses


required params: school term subject number





frontend routes

bonus front end routes for sharing



",3
128,google-research/morph-net,Python,"MorphNet: Fast & Simple Resource-Constrained Learning of Deep Network Structure
[TOC]
What is MorphNet?
MorphNet is a method for learning deep network structure during training. The
key principle is continuous relaxation of the network-structure learning
problem. Specifically, activation sparsity is induced by adding regularizers
that target the consumption of specific resources such as FLOPs or model size.
When the regularizer loss is added to the training loss and their sum is
minimized via stochastic gradient descent or a similar optimizer, the learning
problem becomes a constrained optimization of the structure of the network,
under the constraint represented by the regularizer. The method was first
introduced in our CVPR 2018, paper ""MorphNet: Fast & Simple Resource-Constrained Learning of
Deep Network Structure"". A overview of the
approach as well as new device-specific latency regularizers were prestend in
GTC 2019
[slides, recording: YouTube, GTC on-demand].
In short, the MorphNet regularizer pushes weights down, and once they are small
enough, the corresponding output channels are marked for removal from the
network.
Usage
Suppose you have a working convolutional neural network for image classification
but want to shrink the model to satisfy some constraints (e.g., memory,
latency). Given an existing model (the “seed network”) and a target criterion,
MorphNet will propose a new model by adjusting the number of output channels in
each convolution layer.
Note that MorphNet does not change the topology of the network -- the proposed
model will have the same number of layers and connectivity pattern as the seed
network.
To use MorphNet, you must:


Choose a regularizer from morphnet.network_regularizers. The choice is
based on

your target cost (e.g., FLOPs, latency)
your network architecture: use Gamma regularizer if the seed network
has BatchNorm; use GroupLasso otherwise.

Note: If you use BatchNorm, you must enable the scale parameters (“gamma
variables”), i.e., by setting scale=True if you are using
tf.keras.layers.BatchNormalization.


Initialize the regularizer with a threshold and the output ops of your model
(e.g., logits for classification).
MorphNet regularizer crawls your graph starting from the output ops, and
applies regularization to some of the ops it encounters. It uses the
threshold to determine which output channels can be eliminated.


Add the regularization term to your loss.
As always, regularization loss must be scaled. We recommend to search for
the scaling hyperparameter (regularization strength) along a logarithmic
scale spanning a few orders of magnitude around 1/(initial cost). For
example, if the seed network starts with 1e9 FLOPs, explore regularization
strength around 1e-9.
Note: MorphNet does not currently add the regularization loss to the
tf.GraphKeys.REGULARIZATION_LOSSES collection; this choice is subject to
revision.
Note: Do not confuse get_regularization_term() (the loss you should add to
your training) with get_cost() (the estimated cost of the network if the
proposed structure is applied).


Train the model.
Note: We recommend using a fixed learning rate (no decay) for this step,
though this is not strictly necessary.


Save the proposed model structure with the StructureExporter.
The exported files are in JSON format. Note that as the training progresses,
the proposed model structure will change. There are no specific guidelines
on the stopping time, although you would likely want to wait for the
regularization loss (reported via summaries) to stabilize.


(Optional) Create summary ops to monitor the training progress through
TensorBoard.


Modify your model using the StructureExporter output.


Retrain the model from scratch without the MorphNet regularizer.
Note: Use the standard values for all hyperparameters (such as the learning
rate schedule).


(Optional) Uniformly expand the network to adjust the accuracy vs. cost
trade-off as desired. Alternatively, this step can be performed before
the structure learning step.


We refer to the first round of training as structure learning and the second
round as retraining.
To summarize, the key hyperparameters for MorphNet are:

Regularization strength
Alive threshold

Note that the regularizer type is not a hyperparameter because it's uniquely
determined by the metric of interest (FLOPs, latency) and the presence of
BatchNorm.
Regularizer Types
Regularizer classes can be found under network_regularizers/ directory. They
are named by the algorithm they use and the target cost they attempt to
minimize. For example, GammaFlopsRegularizer uses the batch norm gamma in
order to regularize the FLOP cost.
Regularizer Algorithms

GroupLasso is designed for models without batch norm.
Gamma is designed for
models with batch norm; it requires that batch norm scale is enabled.

Regularizer Target Costs

Flops targets the FLOP count of the inference network.
Model Size targets the number of weights of the network.
Latency optimizes for the estimated inference latency of the network, based
on the specific hardware characteristics.

Example: Adding a FLOPs Regularizer
The example below demonstrates how to use MorphNet to reduce the number of FLOPs
in your model.
from morph_net.network_regularizers import flop_regularizer
from morph_net.tools import structure_exporter

logits = build_model()

network_regularizer = flop_regularizer.GammaFlopsRegularizer(
    [logits.op], gamma_threshold=1e-3)
regularization_strength = 1e-10
regularizer_loss = (network_regularizer.get_regularization_term() * regularization_strength)

model_loss = tf.nn.sparse_softmax_cross_entropy_with_logits(labels, logits)

optimizer = tf.train.MomentumOptimizer(learning_rate=0.01, momentum=0.9)

train_op = optimizer.minimize(model_loss + regularizer_loss)
You should monitor the progress of structure learning training via Tensorboard.
In particular, you should consider adding a summary that computes the current
MorphNet regularization loss and the cost if the currently proposed structure is
adopted.
tf.summary.scalar('RegularizationLoss', regularizer_loss)
tf.summary.scalar(network_regularizer.cost_name, network_regularizer.get_cost())

Larger values of regularization_strength will converge to smaller effective
FLOP count. If regularization_strength is large enough, the FLOP count will
collapse to zero. Conversely, if it is small enough, the FLOP count will remain
at its initial value and the network structure will not vary. The
regularization_strength parameter is your knob to control where you want to be
on the price-performance curve. The gamma_threshold parameter is used for
determining when an activation is alive.
Extracting the Architecture Learned by MorphNet
During training, you should save a JSON file that contains the learned structure
of the network, that is the count of activations in a given layer kept alive (as
opposed to removed) by MorphNet.
exporter = structure_exporter.StructureExporter(
    network_regularizer.op_regularizer_manager)

with tf.Session() as sess:
  tf.global_variables_initializer().run()
  for step in range(max_steps):
    _, structure_exporter_tensors = sess.run([train_op, exporter.tensors])
    if (step % 1000 == 0):
      exporter.populate_tensor_values(structure_exporter_tensors)
      exporter.create_file_and_save_alive_counts(train_dir, step)
Misc
Contact: morphnet@google.com
Maintainers

Elad Eban, github: eladeban
Andrew Poon
Yair Movshovitz-Attias, github: yairmov
Max Moroz

Contributors

Ariel Gordon, github: gariel-google.

",695
129,phugnguyen/SamuraiCourses,JavaScript,"Samurai Courses
Samurai Courses, a Ninja Courses clone, is a course scheduling platform that allows students to plan their schedules without having to worry about which courses will conflict with each other.
Live Demo
Technologies

Backend: Ruby on Rails/ActiveRecord/PostreSQL
Frontend: React/Redux

Features

BCrypt encryption for passwords and session tokens
Fast schedule generator

Dashboard & Schedules
Snapshots
Select School and Add Courses
Select Different Course Offerings
Generate Schedules Without Conflict
This README would normally document whatever steps are necessary to get the
application up and running.
Things you may want to cover:


Ruby version


System dependencies


Configuration


Database creation


Database initialization


How to run the test suite


Services (job queues, cache servers, search engines, etc.)


Deployment instructions


...


NOTES - STYLE BEFORE EVERYTHING
AUTH - ERRORS

AUTH

modal!!


Choose theme/ color theme

run by ryan before executing


MVP 1

layout -> choosing school -> choosing term


MVP 2

dropdown selection classes
BONUS: sections - focus on main classes


MVP 3

generate schedules


MVP 4

generate schedule views


BONNUS

saved schedules



*SCHEMA


times table


course can have many times


scrape real data


courses table enrolled bonus

current enrolled
max enrolled



calculate on the backend
*send back up to schedule slice of state


schedules

SAVED boolean



Sample State

preview slice of state for schedules



backend routes

nest courses under a school
/api/courses


required params: school term subject number





frontend routes

bonus front end routes for sharing



",3
130,dotnet/docs.ja-jp,PowerShell,".NET ドキュメント
このリポジトリには、.NET の概念に関するドキュメントが含まれています。 .NET ドキュメント サイトは次のものに加え、複数のリポジトリから構築されています。

コード サンプルとスニペット
API リファレンス
.NET Compiler Platform SDK リファレンス

これら 3 つすべてのリポジトリの問題とタスクがここに記載されています。 これらのリソースを使用した大規模なコミュニティがあります。 問題に適切なタイミングで対処するように最善を努めています。 問題のポリシーに関するトピックに、問題を分類して解決するための手順を詳しく説明しています。
.NET ドキュメントの改善と完成に役立つご協力をお待ちしています。ご投稿いただく場合は、.NET コミュニティの共同作成者用のプロジェクトでさまざまなアイデアをご覧ください。 共同作成ガイドに、使用されている手順に関する説明があります。 または、関心のあるタスクの問題リストをご確認ください。
Xamarin、Mono および Unity でもこのドキュメントが使用される予定です。
このプロジェクトでは、当コミュニティで期待される動作を明らかにするために共同作成者契約で定義された倫理規定を採用しています。
詳細については、「.NET Foundation Code of Conduct」(.NET Foundation の倫理規定) を参照してください。
",28
131,noyainrain/listling,JavaScript,"Open Listling
Web app for collaboratively composing lists.
You can give it a try on Listling.
Requirements
The following software is required and must be set up on your system:

Python >= 3.5
Node.js >= 8.0
Redis >= 2.8

Open Listling should work on any POSIX system.
Installing dependencies
To install the dependencies for Open Listling, type:
make deps
Running Open Listling
To run Open Listling, type:
python3 -m listling
Browser support
Open Listling supports the latest version of popular browsers (i.e. Chrome, Edge, Firefox and
Safari; see http://caniuse.com/ ).
Deprecation policy
Features marked as deprecated are removed after a period of six months.
Community
Join the chat at
#listling on freenode.
Contributors

Sven James <sven.jms AT gmail.com>

Copyright (C) 2018 Open Listling contributors
",10
132,ESW1234/esw1234.github.io,HTML,"esw1234.github.io
",2
133,scorzy/IdleSpace,TypeScript,"IdleSpace

This is an idle game about space combat. I made it to try web workers and some Angular Matrial CDK, that's why there are drag and drop and per battle is handled per ship.
Links:

Game: https://github.com/scorzy/IdleSpace
Kongregate: https://www.kongregate.com/games/scorzy88/idle-space
Discord: https://discord.gg/CGEfHGe
Battle code: https://github.com/scorzy/IdleSpace/blob/master/src/app/battle.service.ts

This project was generated with Angular CLI version 7.2.2.
Development server
Run ng serve for a dev server. Navigate to http://localhost:4200/. The app will automatically reload if you change any of the source files.
Build
Run ng build to build the project. The build artifacts will be stored in the dist/ directory. Use the --prod flag for a production build.
Running unit tests
Run ng test to execute the unit tests via Karma.
",12
134,ethereum/lahja,Python,"Lahja

Documentation hosted by ReadTheDocs
DISCLAIMER: This is alpha state software. Expect bugs.
Lahja is a generic multi process event bus implementation written in Python 3.6+ to enable lightweight inter-process communication, based on non-blocking asyncio.
What is this for?
Lahja is tailored around one primary use case: enabling multi process Python applications to communicate through events between processes in a non-blocking
asyncio fashion.
Key facts:

non-blocking APIs based on asyncio
lightweight and simple (e.g no IPC pipes etc)
easy multicasting of events (one event, many independent receivers)
easy event routing (e.g route event X only to process group Y)
multiple consuming APIs to adapt to different use cases and styles

TODOs

Filter support (e.g. only subscribe to EventX from origin y)
Push boundaries (don't push this into process x)
Testing
Performance analysis

Developer Setup
If you would like to hack on lahja, please check out the
Ethereum Development Tactical Manual
for information on how we do:

Testing
Pull Requests
Code Style
Documentation

Development Environment Setup
You can set up your dev environment with:
git clone https://github.com/cburgdorf/lahja
cd lahja
virtualenv -p python3 venv
. venv/bin/activate
pip install -e .[dev]
Testing Setup
During development, you might like to have tests run on every file save.
Show flake8 errors on file change:
# Test flake8
when-changed -v -s -r -1 lahja/ tests/ -c ""clear; flake8 lahja tests && echo 'flake8 success' || echo 'error'""
Run multi-process tests in one command, but without color:
# in the project root:
pytest --numprocesses=4 --looponfail --maxfail=1
# the same thing, succinctly:
pytest -n 4 -f --maxfail=1
Run in one thread, with color and desktop notifications:
cd venv
ptw --onfail ""notify-send -t 5000 'Test failure ⚠⚠⚠⚠⚠' 'python 3 test on lahja failed'"" ../tests ../lahja
Release setup
For Debian-like systems:
apt install pandoc

To release a new version:
make release bump=$$VERSION_PART_TO_BUMP$$
How to bumpversion
The version format for this repo is {major}.{minor}.{patch} for stable, and
{major}.{minor}.{patch}-{stage}.{devnum} for unstable (stage can be alpha or beta).
To issue the next version in line, specify which part to bump,
like make release bump=minor or make release bump=devnum.
If you are in a beta version, make release bump=stage will switch to a stable.
To issue an unstable version when the current version is stable, specify the
new version explicitly, like make release bump=""--new-version 4.0.0-alpha.1 devnum""
",19
135,octavore/homebrew-tools,Ruby,"Tools
This repo simplifies installation of my homegrown tools, such as:

delta, a diff tool with a browser-based GUI.
lightproxy, a lightweight local proxy.

Installing
# (optional) brew update
brew install octavore/tools/delta
brew install octavore/tools/lightproxy

",2
136,dotnet/docs.ja-jp,PowerShell,".NET ドキュメント
このリポジトリには、.NET の概念に関するドキュメントが含まれています。 .NET ドキュメント サイトは次のものに加え、複数のリポジトリから構築されています。

コード サンプルとスニペット
API リファレンス
.NET Compiler Platform SDK リファレンス

これら 3 つすべてのリポジトリの問題とタスクがここに記載されています。 これらのリソースを使用した大規模なコミュニティがあります。 問題に適切なタイミングで対処するように最善を努めています。 問題のポリシーに関するトピックに、問題を分類して解決するための手順を詳しく説明しています。
.NET ドキュメントの改善と完成に役立つご協力をお待ちしています。ご投稿いただく場合は、.NET コミュニティの共同作成者用のプロジェクトでさまざまなアイデアをご覧ください。 共同作成ガイドに、使用されている手順に関する説明があります。 または、関心のあるタスクの問題リストをご確認ください。
Xamarin、Mono および Unity でもこのドキュメントが使用される予定です。
このプロジェクトでは、当コミュニティで期待される動作を明らかにするために共同作成者契約で定義された倫理規定を採用しています。
詳細については、「.NET Foundation Code of Conduct」(.NET Foundation の倫理規定) を参照してください。
",28
137,noyainrain/listling,JavaScript,"Open Listling
Web app for collaboratively composing lists.
You can give it a try on Listling.
Requirements
The following software is required and must be set up on your system:

Python >= 3.5
Node.js >= 8.0
Redis >= 2.8

Open Listling should work on any POSIX system.
Installing dependencies
To install the dependencies for Open Listling, type:
make deps
Running Open Listling
To run Open Listling, type:
python3 -m listling
Browser support
Open Listling supports the latest version of popular browsers (i.e. Chrome, Edge, Firefox and
Safari; see http://caniuse.com/ ).
Deprecation policy
Features marked as deprecated are removed after a period of six months.
Community
Join the chat at
#listling on freenode.
Contributors

Sven James <sven.jms AT gmail.com>

Copyright (C) 2018 Open Listling contributors
",10
138,ESW1234/esw1234.github.io,HTML,"esw1234.github.io
",2
139,scorzy/IdleSpace,TypeScript,"IdleSpace

This is an idle game about space combat. I made it to try web workers and some Angular Matrial CDK, that's why there are drag and drop and per battle is handled per ship.
Links:

Game: https://github.com/scorzy/IdleSpace
Kongregate: https://www.kongregate.com/games/scorzy88/idle-space
Discord: https://discord.gg/CGEfHGe
Battle code: https://github.com/scorzy/IdleSpace/blob/master/src/app/battle.service.ts

This project was generated with Angular CLI version 7.2.2.
Development server
Run ng serve for a dev server. Navigate to http://localhost:4200/. The app will automatically reload if you change any of the source files.
Build
Run ng build to build the project. The build artifacts will be stored in the dist/ directory. Use the --prod flag for a production build.
Running unit tests
Run ng test to execute the unit tests via Karma.
",12
140,ethereum/lahja,Python,"Lahja

Documentation hosted by ReadTheDocs
DISCLAIMER: This is alpha state software. Expect bugs.
Lahja is a generic multi process event bus implementation written in Python 3.6+ to enable lightweight inter-process communication, based on non-blocking asyncio.
What is this for?
Lahja is tailored around one primary use case: enabling multi process Python applications to communicate through events between processes in a non-blocking
asyncio fashion.
Key facts:

non-blocking APIs based on asyncio
lightweight and simple (e.g no IPC pipes etc)
easy multicasting of events (one event, many independent receivers)
easy event routing (e.g route event X only to process group Y)
multiple consuming APIs to adapt to different use cases and styles

TODOs

Filter support (e.g. only subscribe to EventX from origin y)
Push boundaries (don't push this into process x)
Testing
Performance analysis

Developer Setup
If you would like to hack on lahja, please check out the
Ethereum Development Tactical Manual
for information on how we do:

Testing
Pull Requests
Code Style
Documentation

Development Environment Setup
You can set up your dev environment with:
git clone https://github.com/cburgdorf/lahja
cd lahja
virtualenv -p python3 venv
. venv/bin/activate
pip install -e .[dev]
Testing Setup
During development, you might like to have tests run on every file save.
Show flake8 errors on file change:
# Test flake8
when-changed -v -s -r -1 lahja/ tests/ -c ""clear; flake8 lahja tests && echo 'flake8 success' || echo 'error'""
Run multi-process tests in one command, but without color:
# in the project root:
pytest --numprocesses=4 --looponfail --maxfail=1
# the same thing, succinctly:
pytest -n 4 -f --maxfail=1
Run in one thread, with color and desktop notifications:
cd venv
ptw --onfail ""notify-send -t 5000 'Test failure ⚠⚠⚠⚠⚠' 'python 3 test on lahja failed'"" ../tests ../lahja
Release setup
For Debian-like systems:
apt install pandoc

To release a new version:
make release bump=$$VERSION_PART_TO_BUMP$$
How to bumpversion
The version format for this repo is {major}.{minor}.{patch} for stable, and
{major}.{minor}.{patch}-{stage}.{devnum} for unstable (stage can be alpha or beta).
To issue the next version in line, specify which part to bump,
like make release bump=minor or make release bump=devnum.
If you are in a beta version, make release bump=stage will switch to a stable.
To issue an unstable version when the current version is stable, specify the
new version explicitly, like make release bump=""--new-version 4.0.0-alpha.1 devnum""
",19
141,octavore/homebrew-tools,Ruby,"Tools
This repo simplifies installation of my homegrown tools, such as:

delta, a diff tool with a browser-based GUI.
lightproxy, a lightweight local proxy.

Installing
# (optional) brew update
brew install octavore/tools/delta
brew install octavore/tools/lightproxy

",2
142,google/TensorNetwork,Python,"TensorNetwork

A tensor network wrapper for TensorFlow.
Installation
pip3 install tensornetwork

Note: The following examples assume a TensorFlow v2 interface
(in TF 1.13 or higher, run tf.enable_v2_behavior() after
importing tensorflow) but should also work with eager mode
(tf.enable_eager_execution()). The actual library does work
under graph mode, but documentation is limited.
Basic Example
Here, we build a simple 2 node contraction.
import numpy as np
import tensorflow as tf
tf.enable_v2_behavior()
import tensornetwork

# Create the network
net = tensornetwork.TensorNetwork()
# Add the nodes
a = net.add_node(np.ones((10,), dtype=np.float32)) 
# Can use either np.array or tf.Tensor and can even mix them!
b = net.add_node(tf.ones((10,)))
edge = net.connect(a[0], b[0])
final_node = net.contract(edge)
print(final_node.get_tensor().numpy()) # Should print 10.0
Node and Edge names.
You can optionally name your nodes/edges. This can be useful for debugging,
as all error messages will print the name of the broken edge/node.
net = tensornetwork.TensorNetwork()
node = net.add_node(np.eye(2), name=""Identity Matrix"")
print(""Name of node: {}"".format(node.name))
edge = net.connect(node[0], node[1], name=""Trace Edge"")
print(""Name of the edge: {}"".format(edge.name))
# Adding name to a contraction will add the name to the new edge created.
final_result = net.contract(edge, name=""Trace Of Identity"")
print(""Name of new node after contraction: {}"".format(final_result.name))
Named axes.
To make remembering what an axis does easier, you can optionally name a node's axes.
net = tensornetwork.TensorNetwork()
a = net.add_node(np.zeros((2, 2)), axis_names=[""alpha"", ""beta""])
edge = net.connect(a[""beta""], a[""alpha""])
Edge reordering.
To assert that your result's axes are in the correct order, you can reorder a node at any time during computation.
net = tensornetwork.TensorNetwork()
a = net.add_node(np.zeros((1, 2, 3)))
e1 = a[0]
e2 = a[1]
e3 = a[2]
a.reorder_edges([e3, e1, e2])
# If you already know the axis values, you can equivalently do
# a.reorder_axes([2, 0, 1])
print(a.tensor.shape) # Should print (3, 1, 2)
NCON interface.
For a more compact specification of a tensor network and its contraction, there is ncon(). For example:
from tensornetwork import ncon
a = tf.random_normal((2,2))
b = tf.random_normal((2,2))
c = ncon([a,b], [(-1,0),(0,-2)])
print(tf.norm(tf.matmul(a,b) - c)) # Should be zero
It is also possible to generate a TensorNetwork:
from tensornetwork import ncon_network
a = tf.random_normal((2,2))
b = tf.random_normal((2,2))
net, e_con, e_out = ncon_network([a,b], [(-1,0),(0,-2)])
for e in e_con:
    n = net.contract(e) # Contract edges in order
n.reorder_edges(e_out) # Permute final tensor as necessary
print(tf.norm(tf.matmul(a,b) - n.get_tensor()))
TensorNetwork is not an official Google product. Copyright 2019 The TensorNetwork Developers.
",56
